Probe Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description							
5260441	NM_001031709.1	55328	C10ORF59		C10ORF59							
3120113	NM_006783.2	10804	GJB6		GJB6							
2260563	NM_006783.2	10804	GJB6		GJB6							
6200494	NM_006324.2	10428	CFDP1		CFDP1							
2570170	CA391100		HS.542464		HS.542464							
7380739	AI911914		HS.545769		HS.545769							
6900224	NM_032667.4	26580	BSCL2		BSCL2							
2900500	DB336782		HS.582641		HS.582641							
6380528	XM_372876.4	391269	LOC391269		LOC391269							
4230328	NM_033157.2	800	CALD1		CALD1							
3360070	AA904588		HS.542162		HS.542162							
3180402	NM_016063.2	51020	HDDC2		HDDC2							
240092	BX116984		HS.195634		HS.195634							
50706	NM_000074.2	959	CD40LG		CD40LG							
840541	NM_152394.3	131831	C3ORF44		C3ORF44							
3990594	NM_031431.2	83548	COG3		COG3							
730288	NM_031431.2	83548	COG3		COG3							
2100228	NM_001937.3	1805	DPT		DPT							
4120152	NM_018343.1	55781	RIOK2		RIOK2							
1110195	NM_017879.1	55659	ZNF416		ZNF416							
4780253	NM_018082.4	55703	POLR3B		POLR3B							
6330274	XM_942221.1	652656	LOC652656		LOC652656							
6380762	BX093551		HS.37749		HS.37749							
7040133	NM_001005195.1	219858	OR8B12		OR8B12							
4860209	NM_173468.2	92597	MOBKL1A		MOBKL1A							
6270100	NM_005561.2	3916	LAMP1		LAMP1							
2340767	DR422946		HS.577504		HS.577504							
1690243	NM_020886.2	57646	USP28		USP28							
3130017	NM_003212.1	6997	TDGF1		TDGF1							
1510193	NM_152858.1	9589	WTAP		WTAP							
2690348	NM_152858.1	9589	WTAP		WTAP							
4060451	NM_207354.1	338692	ANKRD13D		ANKRD13D							
1110092	NM_001909.3	1509	CTSD		CTSD							
4480241	CN479001		HS.136432		HS.136432							
4920458	NM_130898.2	148327	CREB3L4		CREB3L4							
2710519	DB338043		HS.579812		HS.579812							
4040132	CN284859		HS.584115		HS.584115							
7160577	BM916037		HS.579546		HS.579546							
2450717	NM_000057.2	641	BLM		BLM							
3840201	NM_001039884.1	664701	ZNF826		ZNF826							
6180682	AI741348		HS.204545		HS.204545							
620735	CA407939		HS.580139		HS.580139							
3130672	NM_016526.3	51272	BET1L		BET1L							
5860537	XM_933959.1	646823	LOC646823		LOC646823							
3990673	NM_005935.1	4299	AFF1		AFF1							
730070	BE041638		HS.580000		HS.580000							
3190433	NM_181900.2	80765	STARD5		STARD5							
1780025	NM_181900.2	80765	STARD5		STARD5							
3800010	NM_021110.1	7373	COL14A1		COL14A1							
1440609	BX110344		HS.446289		HS.446289							
4120537	NM_004246.1	9340	GLP2R		GLP2R							
5310646	NM_020299.3	57016	AKR1B10		AKR1B10							
4150397	NM_133636.2	113510	HEL308		HEL308							
4040689	AW971305		HS.162010		HS.162010							
3520671	NM_006412.3	10555	AGPAT2		AGPAT2							
3850370	NM_006412.3	10555	AGPAT2		AGPAT2							
3800121	XM_931118.1	642855	LOC642855		LOC642855							
5700398	XM_933240.1	645885	LOC645885		LOC645885							
6270692	XR_019607.1	642148	LOC642148		LOC642148							
3120670	BU153693		HS.42612		HS.42612							
7100692	XM_376278.3	653803	LOC653803		LOC653803							
2070563	NM_006407.3	10550	ARL6IP5		ARL6IP5							
3840468	XM_937617.2	643652	LOC643652		LOC643652							
6510563	AA708738		HS.61750		HS.61750							
5570504	NM_001029883.1	388939	FLJ34931		FLJ34931							
5390634	XM_931989.1	644055	LOC644055		LOC644055							
2340482	XM_943982.1	649909	LOC649909		LOC649909							
1300689	NM_003700.1	120776	OR2D2		OR2D2							
1690167	NM_001033604.1	27241	BBS9		BBS9							
1410408	NM_032199.1	84159	ARID5B		ARID5B							
4490291	BQ016056		HS.563400		HS.563400							
2810133	AA128070		HS.246062		HS.246062							
4200348	NM_207422.1	392490	FLJ44635		FLJ44635							
6220594	NM_207422.1	392490	FLJ44635		FLJ44635							
1010193	AI860426		HS.566887		HS.566887							
2060025	NM_002929.2	6011	GRK1		GRK1							
5420519	XM_926469.1	653204	LOC653204		LOC653204							
4010255	BG118249		HS.566337		HS.566337							
2060554	XM_001126710.1	5174	PDZK1		PDZK1							
1340424	XM_001126710.1	5174	PDZK1		PDZK1							
2120347	XM_933495.1	441032	LOC441032		LOC441032							
1070059	BX105097		HS.550200		HS.550200							
7210093	NM_173582.3	283209	PGM2L1		PGM2L1							
6380139	AI025105		HS.131595		HS.131595							
2120685	AK057399		HS.424165		HS.424165							
7550333	NM_007229.1	11252	PACSIN2		PACSIN2							
1170524	NM_032319.1	84279	C2ORF7		C2ORF7							
2190402	XM_940123.2	643475	LOC643475		LOC643475							
5890441	XM_001130406.1	729487	LOC729487		LOC729487							
5310673	XR_001434.1	386608	AYP1P1		AYP1P1							
870390	NM_022783.1	64798	DEPDC6		DEPDC6							
3800095	NM_022783.1	64798	DEPDC6		DEPDC6							
3120187	NM_018173.2	55200	PLEKHG6		PLEKHG6							
1850240	XM_938656.1	649593	LOC649593		LOC649593							
4180142	NM_019600.1	56204	KIAA1370		KIAA1370							
7210615	NM_175768.1	2898	GRIK2		GRIK2							
2140524	NM_003530.3	8351	HIST1H3D		HIST1H3D							
7560427	XM_941002.1	340990	OTOG		OTOG							
3060358	AA828835		HS.545615		HS.545615							
4070082	XM_929755.2	646799	LOC646799		LOC646799							
3130037	BG149568		HS.199272		HS.199272							
3850451	NM_145650.2	143662	MUC15		MUC15							
3370161	XM_937349.2	119358	LOC119358		LOC119358							
5860349	AW300292		HS.545699		HS.545699							
6110113	W27906		HS.568864		HS.568864							
4640630	NM_014880.3	9936	CD302		CD302							
3870537	NM_014880.3	9936	CD302		CD302							
460630	NM_176866.2	27068	PPA2		PPA2							
990022	BU629763		HS.544562		HS.544562							
1940414	NM_138283.1	128817	CSTL1		CSTL1							
2060184	XM_941298.1	652002	LOC652002		LOC652002							
2850553	NM_153044.1	150291	FLJ35801		FLJ35801							
4040619	N58788		HS.422913		HS.422913							
380367	BX115170		HS.569718		HS.569718							
1690673	NM_001033561.1	57649	PHF12		PHF12							
4570292	NM_001033561.1	57649	PHF12		PHF12							
6760615	NM_182795.1	10361	NPM2		NPM2							
7610113	NM_138718.1	116369	SLC26A8		SLC26A8							
5360626	NM_138718.1	116369	SLC26A8		SLC26A8							
2490288	NM_020251.2	408	ARRB1		ARRB1							
6220520	NM_014946.3	6683	SPAST		SPAST							
4480010	NM_014946.3	6683	SPAST		SPAST							
5360307	BQ184123		HS.564050		HS.564050							
3930725	AI094639		HS.540229		HS.540229							
6980528	NM_000800.2	2246	FGF1		FGF1							
4860100	NM_000800.2	2246	FGF1		FGF1							
6580152	BX117006		HS.308783		HS.308783							
1430451	AA593942		HS.553127		HS.553127							
1580112	CB055044		HS.148462		HS.148462							
4590541	NM_021810.3	60437	CDH26		CDH26							
2690280	AA854535		HS.577727		HS.577727							
6250370	NM_032995.1	50649	ARHGEF4		ARHGEF4							
5310075	AW089961		HS.543879		HS.543879							
6450402	XM_926998.2	643699	LOC643699		LOC643699							
4230386	BM474801		HS.564605		HS.564605							
3130543	NM_002935.2	6037	RNASE3		RNASE3							
1980674	BX113978		HS.370110		HS.370110							
4010541	BU730291		HS.560544		HS.560544							
20056	NM_003295.1	7178	TPT1		TPT1							
2600176	NM_001033026.1	91304	C19ORF6		C19ORF6							
3420333	NM_001033026.1	91304	C19ORF6		C19ORF6							
7330053	NM_018950.1	3134	HLA-F		HLA-F							
3870612	BF110402		HS.439390		HS.439390							
1090397	DA745180		HS.576748		HS.576748							
2360626	NM_016372.1	131601	GPR175		GPR175							
1230382	XM_929631.1	644285	LOC644285		LOC644285							
2450333	XM_943030.1	647797	LOC647797		LOC647797							
7210131	BX093589		HS.145426		HS.145426							
4590110	NM_006640.3	10801	SEPT9		SEPT9							
3850121	NM_001402.5	1915	EEF1A1		EEF1A1							
2100273	NM_001402.5	1915	EEF1A1		EEF1A1							
3450719	NM_001402.5	1915	EEF1A1		EEF1A1							
6330546	NM_205864.2	285782	CAGE1		CAGE1							
5090189	NM_002541.2	4967	OGDH		OGDH							
160605	NM_007368.2	22821	RASA3		RASA3							
6840180	NM_032011.1	56112	PCDHGA3		PCDHGA3							
2570136	NM_032011.1	56112	PCDHGA3		PCDHGA3							
5420154	NM_032011.1	56112	PCDHGA3		PCDHGA3							
1740392	NM_016144.2	51397	COMMD10		COMMD10							
6510719	NM_016144.2	51397	COMMD10		COMMD10							
110725	BU570434		HS.569848		HS.569848							
650438	NM_006852.2	11011	TLK2		TLK2							
2450035	XM_380008.4	402665	LOC402665		LOC402665							
4590463	CA391880		HS.545461		HS.545461							
3890341	BX090161		HS.135814		HS.135814							
2320088	NM_022773.2	64788	LMF1		LMF1							
240400	NM_199169.1	56937	PMEPA1		PMEPA1							
3830041	NM_199169.1	56937	PMEPA1		PMEPA1							
5390026	BF513163		HS.564858		HS.564858							
2070170	NM_004223.3	9246	UBE2L6		UBE2L6							
7000368	NM_004223.3	9246	UBE2L6		UBE2L6							
1050100	BC041923		HS.354359		HS.354359							
3460086	NM_018984.2	54434	SSH1		SSH1							
3440041	NM_181485.1	84619	ZGPAT		ZGPAT							
3130487	NM_152533.1	152065	C3ORF22		C3ORF22							
870168	NM_030622.6	29785	CYP2S1		CYP2S1							
6770474	NM_030622.6	29785	CYP2S1		CYP2S1							
2140373	XM_937217.1	648174	LOC648174		LOC648174							
1450372	XM_941544.2	652183	LOC652183		LOC652183							
7400458	AW235598		HS.572468		HS.572468							
1070438	NR_003275.1	392196	LOC392196		LOC392196							
2710240	NM_006004.2	7388	UQCRH		UQCRH							
6650048	BF570763		HS.467061		HS.467061							
3930402	NM_021961.4	7003	TEAD1		TEAD1							
7650601	NM_021961.4	7003	TEAD1		TEAD1							
630403	NM_005830.2	10240	MRPS31		MRPS31							
3710670	BF511041		HS.224985		HS.224985							
460427	NM_007170.2	10420	TESK2		TESK2							
1510576	NM_145657.1	219409	GSX1		GSX1							
2680291	NM_002584.1	5081	PAX7		PAX7							
460673	BQ027905		HS.564038		HS.564038							
7570162	XM_945080.2	643623	LOC643623		LOC643623							
4590338	AI537743		HS.541027		HS.541027							
5360653	NM_000098.1	1376	CPT2		CPT2							
5080424	NM_170610.2	255626	HIST1H2BA		HIST1H2BA							
6590376	NM_000340.1	6514	SLC2A2		SLC2A2							
6280092	NM_024103.2	79085	SLC25A23		SLC25A23							
4610709	XM_935080.1	440550	LOC440550		LOC440550							
270538	NM_153321.1	5376	PMP22		PMP22							
7560138	NM_153321.1	5376	PMP22		PMP22							
6580309	AW439767		HS.521209		HS.521209							
6100674	BM720347		HS.582112		HS.582112							
6280056	XM_933689.1	653759	LOC653759		LOC653759							
1510228	BG460600		HS.207572		HS.207572							
3450068	AA909683		HS.519412		HS.519412							
3120615	NM_201629.1	9414	TJP2		TJP2							
2470093	NM_201629.1	9414	TJP2		TJP2							
3520709	NM_000673.3	131	ADH7		ADH7							
2060121	NM_000147.3	2517	FUCA1		FUCA1							
5860221	BG210537		HS.333862		HS.333862							
3940520	NM_001002010.1	51251	NT5C3		NT5C3							
7000398	NM_001002010.1	51251	NT5C3		NT5C3							
4640040	NM_020318.2	60676	PAPPA2		PAPPA2							
6900095	NM_020318.2	60676	PAPPA2		PAPPA2							
7040326	AI150106		HS.145149		HS.145149							
1470468	BU629318		HS.539959		HS.539959							
3450475	XM_941385.1	652065	LOC652065		LOC652065							
770088	NM_138287.2	151636	DTX3L		DTX3L							
4230092	BX093286		HS.129581		HS.129581							
4730253	NM_177399.2	4009	LMX1A		LMX1A							
130047	W27086		HS.209694		HS.209694							
5860379	BF698562		HS.96672		HS.96672							
7040747	XM_930107.2	653382	LOC653382		LOC653382							
5670601	XM_930107.2	653382	LOC653382		LOC653382							
6400754	NM_173800.3	206338	FLJ90650		FLJ90650							
5910445	NM_138477.2	146059	CDAN1		CDAN1							
2450291	BE646122		HS.543828		HS.543828							
1050370	XM_934642.1	653596	LOC653596		LOC653596							
2690343	NM_003280.1	7134	TNNC1		TNNC1							
1850626	AW449248		HS.445169		HS.445169							
2230524	XM_936507.1	647439	LOC647439		LOC647439							
5340753	AI333337		HS.542572		HS.542572							
2510537	BX110421		HS.552131		HS.552131							
3180113	AI656049		HS.559989		HS.559989							
4570717	NM_144490.1	11215	AKAP11		AKAP11							
5720731	NM_144490.1	11215	AKAP11		AKAP11							
5870725	NM_003318.3	7272	TTK		TTK							
3890296	BM973061		HS.537989		HS.537989							
5670017	XM_940229.1	651100	LOC651100		LOC651100							
6370215	NM_018364.3	54665	RSBN1		RSBN1							
160524	BM804011		HS.196469		HS.196469							
3830307	XM_942259.1	652676	LOC652676		LOC652676							
4590563	XM_001127442.1	730841	LOC730841		LOC730841							
840762	XR_017818.1	554226	LOC554226		LOC554226							
7100398	XR_017818.1	554226	LOC554226		LOC554226							
360246	DB227855		HS.560810		HS.560810							
3780689	NM_003309.2	7259	TSPYL1		TSPYL1							
3400128	BX105633		HS.543776		HS.543776							
1510685	NM_018110.2	55715	DOK4		DOK4							
3390739	NM_153756.1	252995	FNDC5		FNDC5							
2140630	NM_001003722.1	2733	GLE1		GLE1							
3390437	NM_001003722.1	2733	GLE1		GLE1							
2340110	NM_005300.2	2857	GPR34		GPR34							
2640626	NM_001033031.1	55179	FAIM		FAIM							
3520615	BE671137		HS.582140		HS.582140							
1850279	XM_926057.1	642570	LOC642570		LOC642570							
1580725	NM_025152.1	80224	NUBPL		NUBPL							
5860672	AW188318		HS.541302		HS.541302							
610528	NM_003926.5	53615	MBD3		MBD3							
2710672	NM_138346.1	90231	KIAA2013		KIAA2013							
1980431	NM_024872.1	79930	DOK3		DOK3							
4040681	XM_934220.1	283970	LOC283970		LOC283970							
6580487	NM_016245.2	51170	HSD17B11		HSD17B11							
1770131	XM_928543.1	645522	LOC645522		LOC645522							
1450376	NM_015202.1	23247	KIAA0556		KIAA0556							
3710717	BQ435823		HS.562259		HS.562259							
1710056	AA088761		HS.388652		HS.388652							
2320377	NM_001622.1	197	AHSG		AHSG							
3440646	NM_001030015.2	94233	OPN4		OPN4							
3830487	XM_939033.1	7789	ZXDA		ZXDA							
4570465	XM_939033.1	7789	ZXDA		ZXDA							
630112	BM676748		HS.441432		HS.441432							
6940189	BC026298		HS.543330		HS.543330							
1450332	NM_198555.1	375248	ANKRD36		ANKRD36							
3940717	XM_941658.2	652251	LOC652251		LOC652251							
3120019	DA175295		HS.582457		HS.582457							
1710678	DB049699		HS.576446		HS.576446							
2640328	XM_001126375.1	727922	LOC727922		LOC727922							
7380167	NM_058189.1	84537	C21ORF69		C21ORF69							
6350477	XM_931224.1	283683	LOC283683		LOC283683							
6550553	NM_018264.2	55253	TYW1		TYW1							
5700598	BM678987		HS.539402		HS.539402							
7650368	NM_001008220.1	10814	CPLX2		CPLX2							
5670746	NM_001008220.1	10814	CPLX2		CPLX2							
4570014	NM_016049.3	51016	FAM158A		FAM158A							
2710180	NM_194309.1	284836	C21ORF125		C21ORF125							
2230348	BQ448228		HS.146933		HS.146933							
7100563	XM_936776.2	340307	CTAGE6		CTAGE6							
4570196	NM_139321.1	8455	ATRN		ATRN							
1430228	DR978674		HS.576993		HS.576993							
2640521	NM_001005186.2	219952	OR6Q1		OR6Q1							
1110450	XM_927730.1	644615	LOC644615		LOC644615							
4560192	NM_144579.1	94097	SFXN5		SFXN5							
3610093	NM_000778.2	1579	CYP4A11		CYP4A11							
2640446	NM_002559.2	5024	P2RX3		P2RX3							
2120711	NM_002559.2	5024	P2RX3		P2RX3							
1190592	NM_000827.2	2890	GRIA1		GRIA1							
4880433	NM_002168.2	3418	IDH2		IDH2							
1820500	CB188000		HS.545636		HS.545636							
5560494	NM_001018.3	6209	RPS15		RPS15							
6290609	NM_001018.3	6209	RPS15		RPS15							
540603	NM_032825.3	84911	ZNF382		ZNF382							
2750347	XM_940620.1	651463	LOC651463		LOC651463							
4780068	NM_014465.2	27284	SULT1B1		SULT1B1							
6250368	CK300282		HS.550149		HS.550149							
4900491	CA310620		HS.255299		HS.255299							
6450091	AI031650		HS.499441		HS.499441							
6100307	XM_940155.1	651044	LOC651044		LOC651044							
7510187	XM_940310.1	651186	LOC651186		LOC651186							
450047	NM_032587.2	84674	CARD6		CARD6							
5910500	NM_152280.2	23208	SYT11		SYT11							
5260343	NM_003020.1	6447	SCG5		SCG5							
7400678	NM_152354.2	26974	ZNF285A		ZNF285A							
5080050	BX648169		HS.557847		HS.557847							
5560086	NM_003804.3	8737	RIPK1		RIPK1							
4260520	NM_006838.3	10988	METAP2		METAP2							
6590324	NM_030783.1	81490	PTDSS2		PTDSS2							
4280280	NM_004953.2	1981	EIF4G1		EIF4G1							
5390682	NM_001080452.1	56927	GPR108		GPR108							
5670494	NM_019087.1	54622	ARL15		ARL15							
2140605	NM_019087.1	54622	ARL15		ARL15							
5050521	NM_173579.1	283165	PRR10		PRR10							
6200121	NM_007160.3	7932	OR2H2		OR2H2							
3850672	NM_001013354.1	440153	OR11H12		OR11H12							
4780044	BF478168		HS.545435		HS.545435							
4860162	NM_002098.4	2979	GUCA1B		GUCA1B							
780619	NM_153276.1	9356	SLC22A6		SLC22A6							
4880767	NM_001042413.1	169792	GLIS3		GLIS3							
3170072	NM_014014.2	23020	ASCC3L1		ASCC3L1							
3520598	NM_019858.1	27239	GPR162		GPR162							
6100274	NM_019858.1	27239	GPR162		GPR162							
7050482	CA948010		HS.561410		HS.561410							
7380669	AI027208		HS.132254		HS.132254							
6100491	DB375594		HS.581197		HS.581197							
3290279	NM_001001485.1	27032	ATP2C1		ATP2C1							
2680402	BM668333		HS.564261		HS.564261							
6110482	NM_020322.1	9311	ACCN3		ACCN3							
4590687	NM_147152.1	50618	ITSN2		ITSN2							
4540487	NM_138322.2	5046	PCSK6		PCSK6							
20068	XM_939698.1	220213	OTUD1		OTUD1							
6380121	NM_018340.2	55313	FLJ11151		FLJ11151							
2630059	AK094188		HS.528005		HS.528005							
1740465	XM_929445.1	644457	LOC644457		LOC644457							
130070	NM_015662.1	26160	IFT172		IFT172							
70364	NM_012097.3	26225	ARL5A		ARL5A							
6860646	BM544686		HS.254509		HS.254509							
5560537	NM_173657.1	285315	C3ORF33		C3ORF33							
7320592	NM_004954.3	2011	MARK2		MARK2							
6290437	NM_015440.3	25902	MTHFD1L		MTHFD1L							
4760201	XM_001130403.1	731670	LOC731670		LOC731670							
650554	AI655567		HS.371006		HS.371006							
6900113	NM_001005159.1	51460	SFMBT1		SFMBT1							
4640091	XM_927094.1	643814	LOC643814		LOC643814							
7210402	DA380299		HS.574347		HS.574347							
2480379	XM_370681.4	387841	LOC387841		LOC387841							
4730338	BE466563		HS.537682		HS.537682							
4200398	AA609350		HS.581323		HS.581323							
3890474	XM_931129.1	642866	LOC642866		LOC642866							
990044	XM_001130020.1	57189	KIAA1147		KIAA1147							
6760470	XM_001130020.1	57189	KIAA1147		KIAA1147							
2850037	AI733668		HS.539384		HS.539384							
3190128	NM_001029861.2	339345	NANOS2		NANOS2							
5720246	XR_001073.1	389756	AQP7P2		AQP7P2							
240079	AI001814		HS.577926		HS.577926							
6200451	DA331166		HS.582175		HS.582175							
2970671	AI217525		HS.147579		HS.147579							
6650091	NM_030774.2	81285	OR51E2		OR51E2							
2120692	XM_932904.1	653387	LOC653387		LOC653387							
4830180	XM_932904.1	653387	LOC653387		LOC653387							
3140373	NM_001079808.1	643847	PGA4		PGA4							
5960450	NM_173073.2	51006	SLC35C2		SLC35C2							
1770494	XM_930788.1	23141	KIAA0692		KIAA0692							
7570612	AW291304		HS.552336		HS.552336							
6370154	AW593187		HS.557901		HS.557901							
3520014	XM_927124.1	643850	LOC643850		LOC643850							
4260370	XM_943522.2	441005	LOC441005		LOC441005							
5270470	XM_929276.1	646342	LOC646342		LOC646342							
2350348	NM_030966.1	81850	KRTAP1-3		KRTAP1-3							
670669	CB851061		HS.531269		HS.531269							
2900167	NM_197972.1	29922	NME7		NME7							
6580626	NM_018015.4	55086	CXORF57		CXORF57							
3370112	NM_002951.2	6185	RPN2		RPN2							
610114	XM_926162.1	642411	LOC642411		LOC642411							
6370484	NM_015972.2	51082	POLR1D		POLR1D							
110291	NM_017448.1	3948	LDHC		LDHC							
7560239	XM_926224.1	642819	LOC642819		LOC642819							
2190747	CD708789		HS.571630		HS.571630							
3370110	NM_004586.2	6197	RPS6KA3		RPS6KA3							
2260133	NM_004586.2	6197	RPS6KA3		RPS6KA3							
4210242	XM_929372.1	646445	LOC646445		LOC646445							
6510546	NM_020357.1	57092	PCNP		PCNP							
6420639	NM_001755.2	865	CBFB		CBFB							
1260634	AI678043		HS.259391		HS.259391							
7400066	BX101243		HS.131331		HS.131331							
730747	NM_019903.3	120	ADD3		ADD3							
4590044	NM_024681.1	79734	KCTD17		KCTD17							
5080292	NM_004540.2	4685	NCAM2		NCAM2							
4920129	NM_201430.1	10313	RTN3		RTN3							
7320632	NM_170604.2	115727	RASGRP4		RASGRP4							
6660576	NM_170604.2	115727	RASGRP4		RASGRP4							
780192	DB335504		HS.576091		HS.576091							
1190161	AI669261		HS.580972		HS.580972							
1340300	NM_138331.1	122665	RNASE8		RNASE8							
7550224	NM_015575.2	26058	TNRC15		TNRC15							
620670	DB369246		HS.582701		HS.582701							
7150224	NM_015713.3	50484	RRM2B		RRM2B							
6400440	BG187339		HS.464966		HS.464966							
4010408	NM_214711.1	401137	LOC401137		LOC401137							
110661	NM_001025235.1	7106	TSPAN4		TSPAN4							
3310670	BX111610		HS.147575		HS.147575							
2470059	XM_930738.1	642354	LOC642354		LOC642354							
670082	NM_007353.2	2768	GNA12		GNA12							
3440441	BI827305		HS.577718		HS.577718							
4900328	BX096545		HS.192503		HS.192503							
3420092	AI827892		HS.210969		HS.210969							
610468	XM_937255.1	648211	LOC648211		LOC648211							
6040458	NM_138409.1	112609	C6ORF117		C6ORF117							
1450564	XR_017938.1	285048	MGC40574		MGC40574							
4210692	NM_013299.3	29901	SAC3D1		SAC3D1							
2710338	XM_292889.3	344022	NOTO		NOTO							
5310142	NM_152637.1	196410	METTL7B		METTL7B							
4150327	NM_000315.2	5741	PTH		PTH							
6960152	NM_000315.2	5741	PTH		PTH							
3830288	NM_152592.3	161176	C14ORF49		C14ORF49							
4010400	NM_002480.1	4659	PPP1R12A		PPP1R12A							
7200608	NM_001540.2	3315	HSPB1		HSPB1							
3780669	XM_933293.1	653427	LOC653427		LOC653427							
2140563	NM_006048.2	10277	UBE4B		UBE4B							
4850253	NM_152942.2	943	TNFRSF8		TNFRSF8							
6110242	NM_001033953.1	796	CALCA		CALCA							
990241	NM_138281.1	1748	DLX4		DLX4							
2570301	NM_138281.1	1748	DLX4		DLX4							
1190626	NM_006624.3	10771	ZMYND11		ZMYND11							
3390451	NM_001004441.1	340120	ANKRD34B		ANKRD34B							
4280639	NM_003025.2	6455	SH3GL1		SH3GL1							
7320603	NM_080872.1	137970	UNC5D		UNC5D							
6480576	BQ182159		HS.537420		HS.537420							
4010364	BM677721		HS.560143		HS.560143							
5290315	H29490		HS.549783		HS.549783							
1850431	BM676456		HS.570156		HS.570156							
5900138	CA433637		HS.564084		HS.564084							
2900041	NM_018649.2	55506	H2AFY2		H2AFY2							
3940452	AA719949		HS.565815		HS.565815							
5340091	XM_928496.1	645465	LOC645465		LOC645465							
5090195	NM_004933.2	1013	CDH15		CDH15							
6520242	BF726313		HS.540848		HS.540848							
3360626	NM_001029869.1	153770	PLAC8L1		PLAC8L1							
6380100	NM_024668.2	54882	ANKHD1		ANKHD1							
870397	AW080839		HS.537652		HS.537652							
4220379	NM_145311.1	9946	CRYZL1		CRYZL1							
4730647	BX095801		HS.98222		HS.98222							
5690075	XM_939187.1	11319	HSGT1		HSGT1							
270520	NM_004006.1	1756	DMD		DMD							
2710719	NR_000025.1	114599	SNORD15B		SNORD15B							
7380605	BX089532		HS.434909		HS.434909							
3610382	NM_139166.3	137735	ABRA		ABRA							
5810154	NM_001039131.1	247	ALOX15B		ALOX15B							
5090577	AW291263		HS.566288		HS.566288							
4890040	NM_024754.2	79810	PTCD2		PTCD2							
2680746	NM_006651.3	10815	CPLX1		CPLX1							
1450392	NM_080681.2	1302	COL11A2		COL11A2							
5560132	AW903197		HS.576910		HS.576910							
7330333	NM_014265.4	10863	ADAM28		ADAM28							
1230767	NM_006435.2	10581	IFITM2		IFITM2							
6290181	NM_058192.2	113000	RPUSD1		RPUSD1							
620300	NM_006148.1	3927	LASP1		LASP1							
3610189	CB238819		HS.538226		HS.538226							
2750008	NM_001214.3	750	C16ORF3		C16ORF3							
4060746	XM_930103.2	644974	LOC644974		LOC644974							
4050487	AW629334		HS.580150		HS.580150							
2900129	NM_001080432.1	79068	FTO		FTO							
6770209	NM_015500.1	25966	C2CD2		C2CD2							
2030300	XM_941455.1	652119	LOC652119		LOC652119							
1440685	NM_021025.2	30012	TLX3		TLX3							
3840390	BX640973		HS.181245		HS.181245							
5570315	NM_173652.1	285154	C2ORF58		C2ORF58							
3450168	BG253754		HS.199486		HS.199486							
6100463	XM_941237.1	651951	LOC651951		LOC651951							
3170079	CD368757		HS.543340		HS.543340							
4900424	NM_024080.4	79054	TRPM8		TRPM8							
5090673	NM_006478.3	10634	GAS2L1		GAS2L1							
4610537	AA625691		HS.580927		HS.580927							
1660626	CD697230		HS.568805		HS.568805							
730301	NM_145730.1	162	AP1B1		AP1B1							
5960201	NM_145730.1	162	AP1B1		AP1B1							
2640471	NM_007219.2	11237	RNF24		RNF24							
5910669	NM_015438.1	25900	HOM-TES-103		HOM-TES-103							
7550093	NM_207293.1	4154	MBNL1		MBNL1							
2480088	NM_000379.3	7498	XDH		XDH							
2970068	NM_017844.2	51281	ANKMY1		ANKMY1							
2760102	NM_017844.2	51281	ANKMY1		ANKMY1							
2450114	AK056963		HS.193557		HS.193557							
4810075	NM_153266.2	256472	TMEM151A		TMEM151A							
4850543	NM_153266.2	256472	TMEM151A		TMEM151A							
130630	NM_153266.2	256472	TMEM151A		TMEM151A							
7160301	NM_174978.1	317761	C14ORF39		C14ORF39							
4540519	NM_174978.1	317761	C14ORF39		C14ORF39							
630402	NM_020122.3	56888	KCMF1		KCMF1							
3990048	DB336236		HS.578029		HS.578029							
670152	BQ447737		HS.566521		HS.566521							
3360273	NM_001029950.1	29797	DKFZP434K191		DKFZP434K191							
5340220	NM_001010985.1	343263	MYBPHL		MYBPHL							
4890537	NM_015324.2	23378	KIAA0409		KIAA0409							
3460092	XM_496704.2	84779	MGC10646		MGC10646							
5550521	NM_198123.1	114788	CSMD3		CSMD3							
4250411	NM_001034173.1	160428	ALDH1L2		ALDH1L2							
3890370	NM_053002.3	116931	MED12L		MED12L							
1110132	XM_945603.1	117581	TWIST2		TWIST2							
7550687	NM_182812.1	57794	SF4		SF4							
4760102	NM_007245.2	11273	ATXN2L		ATXN2L							
4670148	NM_003031.3	6477	SIAH1		SIAH1							
2600592	XM_499522.2	442570	LOC442570		LOC442570							
6350669	BG055188		HS.546155		HS.546155							
6330377	NM_004691.4	9114	ATP6V0D1		ATP6V0D1							
4920471	NM_020696.1	57456	KIAA1143		KIAA1143							
4900576	NM_152257.1	25781	KIAA0889		KIAA0889							
3520458	AI015817		HS.538392		HS.538392							
5050731	NM_015154.1	23184	MESDC2		MESDC2							
3190068	BX119171		HS.135737		HS.135737							
4490327	BU852235		HS.554090		HS.554090							
1110100	NM_172341.1	55851	PSENEN		PSENEN							
1430577	NM_006348.2	10466	COG5		COG5							
4040630	NM_006348.2	10466	COG5		COG5							
4260348	XM_001128633.1	731158	LOC731158		LOC731158							
3940128	AI283757		HS.541313		HS.541313							
2370309	AI200856		HS.148519		HS.148519							
2900086	DA393528		HS.568827		HS.568827							
7380176	NM_182534.1	200197	C1ORF126		C1ORF126							
4920372	NM_015483.1	25948	KBTBD2		KBTBD2							
